,REF_DATE,GEO,Admissions_and_releases,Correctional_services,Corrections
616,1998,Ontario,Youth releases,Open custody,3972.0
617,1998,Ontario,Youth releases,Custody and supervision (open),
618,1998,Ontario,Youth releases,Young Offenders Act (YOA) (open),
619,1998,Ontario,Youth releases,Community Portion of Custody Supervision,
620,1998,Ontario,Youth releases,Intensive support and supervision,
621,1998,Ontario,Youth releases,Deferred custody and supervision,
622,1998,Ontario,Youth releases,Supervised probation,
623,1998,Ontario,Youth releases,Other community sentences,
676,1998,Manitoba,Youth admissions,Pre-trial detention,1636.0
677,1998,Manitoba,Youth admissions,Provincial director remand,
678,1998,Manitoba,Youth admissions,Secure custody,238.0
679,1998,Manitoba,Youth admissions,Custody and supervision (secure),
680,1998,Manitoba,Youth admissions,Young Offenders Act (YOA) (secure),
681,1998,Manitoba,Youth admissions,Open custody,448.0
682,1998,Manitoba,Youth admissions,Custody and supervision (open),
683,1998,Manitoba,Youth admissions,Young Offenders Act (YOA) (open),
684,1998,Manitoba,Youth admissions,Community Portion of Custody Supervision,
685,1998,Manitoba,Youth admissions,Intensive support and supervision,
686,1998,Manitoba,Youth admissions,Deferred custody and supervision,
687,1998,Manitoba,Youth admissions,Supervised probation,
688,1998,Manitoba,Youth admissions,Other community sentences,
689,1998,Manitoba,Youth releases,Pre-trial detention,1643.0
690,1998,Manitoba,Youth releases,Provincial director remand,
691,1998,Manitoba,Youth releases,Secure custody,261.0
692,1998,Manitoba,Youth releases,Custody and supervision (secure),
693,1998,Manitoba,Youth releases,Young Offenders Act (YOA) (secure),
694,1998,Manitoba,Youth releases,Open custody,478.0
695,1998,Manitoba,Youth releases,Custody and supervision (open),
696,1998,Manitoba,Youth releases,Young Offenders Act (YOA) (open),
697,1998,Manitoba,Youth releases,Community Portion of Custody Supervision,
698,1998,Manitoba,Youth releases,Intensive support and supervision,
699,1998,Manitoba,Youth releases,Deferred custody and supervision,
700,1998,Manitoba,Youth releases,Supervised probation,
701,1998,Manitoba,Youth releases,Other community sentences,
702,1998,Saskatchewan,Youth admissions,Pre-trial detention,
703,1998,Saskatchewan,Youth admissions,Provincial director remand,
704,1998,Saskatchewan,Youth admissions,Secure custody,332.0
705,1998,Saskatchewan,Youth admissions,Custody and supervision (secure),
706,1998,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (secure),
707,1998,Saskatchewan,Youth admissions,Open custody,449.0
708,1998,Saskatchewan,Youth admissions,Custody and supervision (open),
709,1998,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (open),
710,1998,Saskatchewan,Youth admissions,Community Portion of Custody Supervision,
711,1998,Saskatchewan,Youth admissions,Intensive support and supervision,
712,1998,Saskatchewan,Youth admissions,Deferred custody and supervision,
713,1998,Saskatchewan,Youth admissions,Supervised probation,1957.0
714,1998,Saskatchewan,Youth admissions,Other community sentences,
715,1998,Saskatchewan,Youth releases,Pre-trial detention,
716,1998,Saskatchewan,Youth releases,Provincial director remand,
717,1998,Saskatchewan,Youth releases,Secure custody,186.0
718,1998,Saskatchewan,Youth releases,Custody and supervision (secure),
719,1998,Saskatchewan,Youth releases,Young Offenders Act (YOA) (secure),
720,1998,Saskatchewan,Youth releases,Open custody,240.0
721,1998,Saskatchewan,Youth releases,Custody and supervision (open),
722,1998,Saskatchewan,Youth releases,Young Offenders Act (YOA) (open),
723,1998,Saskatchewan,Youth releases,Community Portion of Custody Supervision,
724,1998,Saskatchewan,Youth releases,Intensive support and supervision,
725,1998,Saskatchewan,Youth releases,Deferred custody and supervision,
726,1998,Saskatchewan,Youth releases,Supervised probation,
727,1998,Saskatchewan,Youth releases,Other community sentences,
728,1998,Alberta,Youth admissions,Pre-trial detention,2851.0
729,1998,Alberta,Youth admissions,Provincial director remand,
730,1998,Alberta,Youth admissions,Secure custody,999.0
731,1998,Alberta,Youth admissions,Custody and supervision (secure),
732,1998,Alberta,Youth admissions,Young Offenders Act (YOA) (secure),
733,1998,Alberta,Youth admissions,Open custody,703.0
734,1998,Alberta,Youth admissions,Custody and supervision (open),
735,1998,Alberta,Youth admissions,Young Offenders Act (YOA) (open),
736,1998,Alberta,Youth admissions,Community Portion of Custody Supervision,
737,1998,Alberta,Youth admissions,Intensive support and supervision,
738,1998,Alberta,Youth admissions,Deferred custody and supervision,
739,1998,Alberta,Youth admissions,Supervised probation,3387.0
740,1998,Alberta,Youth admissions,Other community sentences,
741,1998,Alberta,Youth releases,Pre-trial detention,2939.0
742,1998,Alberta,Youth releases,Provincial director remand,
743,1998,Alberta,Youth releases,Secure custody,1024.0
744,1998,Alberta,Youth releases,Custody and supervision (secure),
745,1998,Alberta,Youth releases,Young Offenders Act (YOA) (secure),
746,1998,Alberta,Youth releases,Open custody,737.0
747,1998,Alberta,Youth releases,Custody and supervision (open),
748,1998,Alberta,Youth releases,Young Offenders Act (YOA) (open),
749,1998,Alberta,Youth releases,Community Portion of Custody Supervision,
750,1998,Alberta,Youth releases,Intensive support and supervision,
751,1998,Alberta,Youth releases,Deferred custody and supervision,
752,1998,Alberta,Youth releases,Supervised probation,
753,1998,Alberta,Youth releases,Other community sentences,
754,1998,British Columbia,Youth admissions,Pre-trial detention,2393.0
755,1998,British Columbia,Youth admissions,Provincial director remand,
756,1998,British Columbia,Youth admissions,Secure custody,660.0
757,1998,British Columbia,Youth admissions,Custody and supervision (secure),
758,1998,British Columbia,Youth admissions,Young Offenders Act (YOA) (secure),
759,1998,British Columbia,Youth admissions,Open custody,824.0
760,1998,British Columbia,Youth admissions,Custody and supervision (open),
761,1998,British Columbia,Youth admissions,Young Offenders Act (YOA) (open),
762,1998,British Columbia,Youth admissions,Community Portion of Custody Supervision,
763,1998,British Columbia,Youth admissions,Intensive support and supervision,
764,1998,British Columbia,Youth admissions,Deferred custody and supervision,
765,1998,British Columbia,Youth admissions,Supervised probation,4094.0
766,1998,British Columbia,Youth admissions,Other community sentences,
767,1998,British Columbia,Youth releases,Pre-trial detention,2404.0
768,1998,British Columbia,Youth releases,Provincial director remand,
769,1998,British Columbia,Youth releases,Secure custody,457.0
770,1998,British Columbia,Youth releases,Custody and supervision (secure),
771,1998,British Columbia,Youth releases,Young Offenders Act (YOA) (secure),
772,1998,British Columbia,Youth releases,Open custody,826.0
773,1998,British Columbia,Youth releases,Custody and supervision (open),
774,1998,British Columbia,Youth releases,Young Offenders Act (YOA) (open),
775,1998,British Columbia,Youth releases,Community Portion of Custody Supervision,
776,1998,British Columbia,Youth releases,Intensive support and supervision,
777,1998,British Columbia,Youth releases,Deferred custody and supervision,
778,1998,British Columbia,Youth releases,Supervised probation,
779,1998,British Columbia,Youth releases,Other community sentences,
1040,1999,Ontario,Youth admissions,Pre-trial detention,4927.0
1041,1999,Ontario,Youth admissions,Provincial director remand,
1042,1999,Ontario,Youth admissions,Secure custody,3350.0
1043,1999,Ontario,Youth admissions,Custody and supervision (secure),
1044,1999,Ontario,Youth admissions,Young Offenders Act (YOA) (secure),
1045,1999,Ontario,Youth admissions,Open custody,4188.0
1046,1999,Ontario,Youth admissions,Custody and supervision (open),
1047,1999,Ontario,Youth admissions,Young Offenders Act (YOA) (open),
1048,1999,Ontario,Youth admissions,Community Portion of Custody Supervision,
1049,1999,Ontario,Youth admissions,Intensive support and supervision,
1050,1999,Ontario,Youth admissions,Deferred custody and supervision,
1051,1999,Ontario,Youth admissions,Supervised probation,16267.0
1052,1999,Ontario,Youth admissions,Other community sentences,
1053,1999,Ontario,Youth releases,Pre-trial detention,4846.0
1054,1999,Ontario,Youth releases,Provincial director remand,
1055,1999,Ontario,Youth releases,Secure custody,3441.0
1056,1999,Ontario,Youth releases,Custody and supervision (secure),
1057,1999,Ontario,Youth releases,Young Offenders Act (YOA) (secure),
1058,1999,Ontario,Youth releases,Open custody,4280.0
1059,1999,Ontario,Youth releases,Custody and supervision (open),
1060,1999,Ontario,Youth releases,Young Offenders Act (YOA) (open),
1061,1999,Ontario,Youth releases,Community Portion of Custody Supervision,
1062,1999,Ontario,Youth releases,Intensive support and supervision,
1063,1999,Ontario,Youth releases,Deferred custody and supervision,
1064,1999,Ontario,Youth releases,Supervised probation,
1065,1999,Ontario,Youth releases,Other community sentences,
1118,1999,Manitoba,Youth admissions,Pre-trial detention,1858.0
1119,1999,Manitoba,Youth admissions,Provincial director remand,
1120,1999,Manitoba,Youth admissions,Secure custody,202.0
1121,1999,Manitoba,Youth admissions,Custody and supervision (secure),
1122,1999,Manitoba,Youth admissions,Young Offenders Act (YOA) (secure),
1123,1999,Manitoba,Youth admissions,Open custody,377.0
1124,1999,Manitoba,Youth admissions,Custody and supervision (open),
1125,1999,Manitoba,Youth admissions,Young Offenders Act (YOA) (open),
1126,1999,Manitoba,Youth admissions,Community Portion of Custody Supervision,
1127,1999,Manitoba,Youth admissions,Intensive support and supervision,
1128,1999,Manitoba,Youth admissions,Deferred custody and supervision,
1129,1999,Manitoba,Youth admissions,Supervised probation,
1130,1999,Manitoba,Youth admissions,Other community sentences,
1131,1999,Manitoba,Youth releases,Pre-trial detention,
1132,1999,Manitoba,Youth releases,Provincial director remand,
1133,1999,Manitoba,Youth releases,Secure custody,
1134,1999,Manitoba,Youth releases,Custody and supervision (secure),
1135,1999,Manitoba,Youth releases,Young Offenders Act (YOA) (secure),
1136,1999,Manitoba,Youth releases,Open custody,
1137,1999,Manitoba,Youth releases,Custody and supervision (open),
1138,1999,Manitoba,Youth releases,Young Offenders Act (YOA) (open),
1139,1999,Manitoba,Youth releases,Community Portion of Custody Supervision,
1140,1999,Manitoba,Youth releases,Intensive support and supervision,
1141,1999,Manitoba,Youth releases,Deferred custody and supervision,
1142,1999,Manitoba,Youth releases,Supervised probation,
1143,1999,Manitoba,Youth releases,Other community sentences,
1144,1999,Saskatchewan,Youth admissions,Pre-trial detention,
1145,1999,Saskatchewan,Youth admissions,Provincial director remand,
1146,1999,Saskatchewan,Youth admissions,Secure custody,301.0
1147,1999,Saskatchewan,Youth admissions,Custody and supervision (secure),
1148,1999,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (secure),
1149,1999,Saskatchewan,Youth admissions,Open custody,344.0
1150,1999,Saskatchewan,Youth admissions,Custody and supervision (open),
1151,1999,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (open),
1152,1999,Saskatchewan,Youth admissions,Community Portion of Custody Supervision,
1153,1999,Saskatchewan,Youth admissions,Intensive support and supervision,
1154,1999,Saskatchewan,Youth admissions,Deferred custody and supervision,
1155,1999,Saskatchewan,Youth admissions,Supervised probation,1634.0
1156,1999,Saskatchewan,Youth admissions,Other community sentences,
1157,1999,Saskatchewan,Youth releases,Pre-trial detention,
1158,1999,Saskatchewan,Youth releases,Provincial director remand,
1159,1999,Saskatchewan,Youth releases,Secure custody,152.0
1160,1999,Saskatchewan,Youth releases,Custody and supervision (secure),
1161,1999,Saskatchewan,Youth releases,Young Offenders Act (YOA) (secure),
1162,1999,Saskatchewan,Youth releases,Open custody,171.0
1163,1999,Saskatchewan,Youth releases,Custody and supervision (open),
1164,1999,Saskatchewan,Youth releases,Young Offenders Act (YOA) (open),
1165,1999,Saskatchewan,Youth releases,Community Portion of Custody Supervision,
1166,1999,Saskatchewan,Youth releases,Intensive support and supervision,
1167,1999,Saskatchewan,Youth releases,Deferred custody and supervision,
1168,1999,Saskatchewan,Youth releases,Supervised probation,
1169,1999,Saskatchewan,Youth releases,Other community sentences,
1170,1999,Alberta,Youth admissions,Pre-trial detention,2484.0
1171,1999,Alberta,Youth admissions,Provincial director remand,
1172,1999,Alberta,Youth admissions,Secure custody,1005.0
1173,1999,Alberta,Youth admissions,Custody and supervision (secure),
1174,1999,Alberta,Youth admissions,Young Offenders Act (YOA) (secure),
1175,1999,Alberta,Youth admissions,Open custody,638.0
1176,1999,Alberta,Youth admissions,Custody and supervision (open),
1177,1999,Alberta,Youth admissions,Young Offenders Act (YOA) (open),
1178,1999,Alberta,Youth admissions,Community Portion of Custody Supervision,
1179,1999,Alberta,Youth admissions,Intensive support and supervision,
1180,1999,Alberta,Youth admissions,Deferred custody and supervision,
1181,1999,Alberta,Youth admissions,Supervised probation,3115.0
1182,1999,Alberta,Youth admissions,Other community sentences,
1183,1999,Alberta,Youth releases,Pre-trial detention,2501.0
1184,1999,Alberta,Youth releases,Provincial director remand,
1185,1999,Alberta,Youth releases,Secure custody,1016.0
1186,1999,Alberta,Youth releases,Custody and supervision (secure),
1187,1999,Alberta,Youth releases,Young Offenders Act (YOA) (secure),
1188,1999,Alberta,Youth releases,Open custody,652.0
1189,1999,Alberta,Youth releases,Custody and supervision (open),
1190,1999,Alberta,Youth releases,Young Offenders Act (YOA) (open),
1191,1999,Alberta,Youth releases,Community Portion of Custody Supervision,
1192,1999,Alberta,Youth releases,Intensive support and supervision,
1193,1999,Alberta,Youth releases,Deferred custody and supervision,
1194,1999,Alberta,Youth releases,Supervised probation,
1195,1999,Alberta,Youth releases,Other community sentences,
1196,1999,British Columbia,Youth admissions,Pre-trial detention,2377.0
1197,1999,British Columbia,Youth admissions,Provincial director remand,
1198,1999,British Columbia,Youth admissions,Secure custody,649.0
1199,1999,British Columbia,Youth admissions,Custody and supervision (secure),
1200,1999,British Columbia,Youth admissions,Young Offenders Act (YOA) (secure),
1201,1999,British Columbia,Youth admissions,Open custody,703.0
1202,1999,British Columbia,Youth admissions,Custody and supervision (open),
1203,1999,British Columbia,Youth admissions,Young Offenders Act (YOA) (open),
1204,1999,British Columbia,Youth admissions,Community Portion of Custody Supervision,
1205,1999,British Columbia,Youth admissions,Intensive support and supervision,
1206,1999,British Columbia,Youth admissions,Deferred custody and supervision,
1207,1999,British Columbia,Youth admissions,Supervised probation,3329.0
1208,1999,British Columbia,Youth admissions,Other community sentences,
1209,1999,British Columbia,Youth releases,Pre-trial detention,2401.0
1210,1999,British Columbia,Youth releases,Provincial director remand,
1211,1999,British Columbia,Youth releases,Secure custody,487.0
1212,1999,British Columbia,Youth releases,Custody and supervision (secure),
1213,1999,British Columbia,Youth releases,Young Offenders Act (YOA) (secure),
1214,1999,British Columbia,Youth releases,Open custody,720.0
1215,1999,British Columbia,Youth releases,Custody and supervision (open),
1216,1999,British Columbia,Youth releases,Young Offenders Act (YOA) (open),
1217,1999,British Columbia,Youth releases,Community Portion of Custody Supervision,
1218,1999,British Columbia,Youth releases,Intensive support and supervision,
1219,1999,British Columbia,Youth releases,Deferred custody and supervision,
1220,1999,British Columbia,Youth releases,Supervised probation,
1221,1999,British Columbia,Youth releases,Other community sentences,
1482,2000,Ontario,Youth admissions,Pre-trial detention,5693.0
1483,2000,Ontario,Youth admissions,Provincial director remand,
1484,2000,Ontario,Youth admissions,Secure custody,3359.0
1485,2000,Ontario,Youth admissions,Custody and supervision (secure),
1486,2000,Ontario,Youth admissions,Young Offenders Act (YOA) (secure),
1487,2000,Ontario,Youth admissions,Open custody,4259.0
1488,2000,Ontario,Youth admissions,Custody and supervision (open),
1489,2000,Ontario,Youth admissions,Young Offenders Act (YOA) (open),
1490,2000,Ontario,Youth admissions,Community Portion of Custody Supervision,
1491,2000,Ontario,Youth admissions,Intensive support and supervision,
1492,2000,Ontario,Youth admissions,Deferred custody and supervision,
1493,2000,Ontario,Youth admissions,Supervised probation,16634.0
1494,2000,Ontario,Youth admissions,Other community sentences,
1495,2000,Ontario,Youth releases,Pre-trial detention,6668.0
1496,2000,Ontario,Youth releases,Provincial director remand,
1497,2000,Ontario,Youth releases,Secure custody,3427.0
1498,2000,Ontario,Youth releases,Custody and supervision (secure),
1499,2000,Ontario,Youth releases,Young Offenders Act (YOA) (secure),
1500,2000,Ontario,Youth releases,Open custody,4381.0
1501,2000,Ontario,Youth releases,Custody and supervision (open),
1502,2000,Ontario,Youth releases,Young Offenders Act (YOA) (open),
1503,2000,Ontario,Youth releases,Community Portion of Custody Supervision,
1504,2000,Ontario,Youth releases,Intensive support and supervision,
1505,2000,Ontario,Youth releases,Deferred custody and supervision,
1506,2000,Ontario,Youth releases,Supervised probation,
1507,2000,Ontario,Youth releases,Other community sentences,
1560,2000,Manitoba,Youth admissions,Pre-trial detention,2077.0
1561,2000,Manitoba,Youth admissions,Provincial director remand,
1562,2000,Manitoba,Youth admissions,Secure custody,168.0
1563,2000,Manitoba,Youth admissions,Custody and supervision (secure),
1564,2000,Manitoba,Youth admissions,Young Offenders Act (YOA) (secure),
1565,2000,Manitoba,Youth admissions,Open custody,310.0
1566,2000,Manitoba,Youth admissions,Custody and supervision (open),
1567,2000,Manitoba,Youth admissions,Young Offenders Act (YOA) (open),
1568,2000,Manitoba,Youth admissions,Community Portion of Custody Supervision,
1569,2000,Manitoba,Youth admissions,Intensive support and supervision,
1570,2000,Manitoba,Youth admissions,Deferred custody and supervision,
1571,2000,Manitoba,Youth admissions,Supervised probation,1183.0
1572,2000,Manitoba,Youth admissions,Other community sentences,
1573,2000,Manitoba,Youth releases,Pre-trial detention,1729.0
1574,2000,Manitoba,Youth releases,Provincial director remand,
1575,2000,Manitoba,Youth releases,Secure custody,121.0
1576,2000,Manitoba,Youth releases,Custody and supervision (secure),
1577,2000,Manitoba,Youth releases,Young Offenders Act (YOA) (secure),
1578,2000,Manitoba,Youth releases,Open custody,225.0
1579,2000,Manitoba,Youth releases,Custody and supervision (open),
1580,2000,Manitoba,Youth releases,Young Offenders Act (YOA) (open),
1581,2000,Manitoba,Youth releases,Community Portion of Custody Supervision,
1582,2000,Manitoba,Youth releases,Intensive support and supervision,
1583,2000,Manitoba,Youth releases,Deferred custody and supervision,
1584,2000,Manitoba,Youth releases,Supervised probation,
1585,2000,Manitoba,Youth releases,Other community sentences,
1586,2000,Saskatchewan,Youth admissions,Pre-trial detention,
1587,2000,Saskatchewan,Youth admissions,Provincial director remand,
1588,2000,Saskatchewan,Youth admissions,Secure custody,285.0
1589,2000,Saskatchewan,Youth admissions,Custody and supervision (secure),
1590,2000,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (secure),
1591,2000,Saskatchewan,Youth admissions,Open custody,329.0
1592,2000,Saskatchewan,Youth admissions,Custody and supervision (open),
1593,2000,Saskatchewan,Youth admissions,Young Offenders Act (YOA) (open),
1594,2000,Saskatchewan,Youth admissions,Community Portion of Custody Supervision,
1595,2000,Saskatchewan,Youth admissions,Intensive support and supervision,
1596,2000,Saskatchewan,Youth admissions,Deferred custody and supervision,
1597,2000,Saskatchewan,Youth admissions,Supervised probation,1507.0
1598,2000,Saskatchewan,Youth admissions,Other community sentences,
1599,2000,Saskatchewan,Youth releases,Pre-trial detention,
1600,2000,Saskatchewan,Youth releases,Provincial director remand,
1601,2000,Saskatchewan,Youth releases,Secure custody,264.0
1602,2000,Saskatchewan,Youth releases,Custody and supervision (secure),
1603,2000,Saskatchewan,Youth releases,Young Offenders Act (YOA) (secure),
1604,2000,Saskatchewan,Youth releases,Open custody,289.0
1605,2000,Saskatchewan,Youth releases,Custody and supervision (open),
1606,2000,Saskatchewan,Youth releases,Young Offenders Act (YOA) (open),
1607,2000,Saskatchewan,Youth releases,Community Portion of Custody Supervision,
1608,2000,Saskatchewan,Youth releases,Intensive support and supervision,
